Luminosité moyenne,Trop lumineuse,Trop sombre,Contraste global (std),Faible contraste,Niveau de netteté (Laplacian),Floue,Nb lignes détectées,% lignes horizontales,% lignes verticales,Image
121.27,False,False,47.24,False,256.92,False,16915,13.73,18.32,Groupe1_Image2.jpg
87.08,False,False,73.75,False,712.62,False,13478,22.07,16.94,Groupe1_Image10.jpg
118.65,False,False,29.76,True,18.24,True,211,10.43,89.57,Groupe1_Image8.jpg
134.92,False,False,41.89,False,7.49,True,54,9.26,75.93,Groupe1_Image9.jpg
109.91,False,False,49.94,False,93.9,False,7620,21.96,12.1,Groupe2_Image10.jpg
87.67,False,False,56.04,False,153.91,False,35281,18.86,15.66,Groupe2_Image8.jpg
150.81,False,False,73.64,False,120.86,False,671,7.75,9.24,Groupe2_Image3.jpeg
100.14,False,False,54.63,False,77.88,False,13418,15.17,21.25,Groupe2_Image9.jpg
99.91,False,False,40.67,False,192.99,False,9389,19.98,14.7,Groupe2_Image7.jpeg
99.58,False,False,55.11,False,506.93,False,77601,15.02,15.51,Groupe2_Image11.jpg
165.02,False,False,33.83,False,572.1,False,20146,19.65,15.42,Groupe2_Image1.jpeg
140.64,False,False,66.31,False,92.07,False,36,47.22,50.0,Groupe2_Image5.jpeg
93.68,False,False,60.69,False,41.57,True,1367,31.16,53.62,Groupe2_Image4.png
118.78,False,False,59.26,False,447.35,False,62433,13.21,16.87,Groupe2_Image12.png
87.11,False,False,55.44,False,199.28,False,63114,19.22,13.97,Groupe2_Image13.png
127.22,False,False,39.67,False,296.44,False,12471,24.54,16.19,Groupe2_Image2.jpeg
139.15,False,False,36.73,False,230.6,False,12,16.67,41.67,Groupe2_Image6.jpeg
145.82,False,False,58.42,False,164.29,False,252,24.21,28.57,img2.jpg
112.01,False,False,64.84,False,151.7,False,1164,56.79,10.05,img7.png
114.23,False,False,68.49,False,683.23,False,13968,23.84,12.88,img8.png
88.86,False,False,57.43,False,122.6,False,53210,15.95,17.09,img6.jpg
87.8,False,False,61.02,False,807.11,False,19074,18.08,16.5,img1.png
94.22,False,False,70.59,False,136.84,False,55549,11.92,21.54,img5.jpg
125.57,False,False,45.51,False,261.55,False,93500,10.3,19.06,img4.jpg
104.72,False,False,65.88,False,418.12,False,19229,20.62,12.51,img9.png
86.94,False,False,42.72,False,273.92,False,33886,18.78,15.79,img3.png
